pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_angle_r_beta_force,knee_angle_l_moment,knee_angle_l_beta_force,ankle_angle_r_moment,ankle_angle_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,mtp_angle_r_moment,mtp_angle_l_moment
0.0113979089766306,0.00184876285222736,0.0289302976825972,-0.0062025839122205,-0.100579248421128,-0.00732361288465165,0.0522956590221732,-1.54160156647904,0.385730582999072,0.06899452280203,-0.0577504422949388,0.00288842177635652,0.458336895398836,-0.459681071328598,0.0188890574149605,-2.05223417932885,-0.000724424063492194,0.00181100548883791,-0.000330110712874984,-1.4662087232414,0.0259811620231243,0.0897885460793288,-0.00381859967577254,-0.000293785526598694,-0.00133458970640759
0.0131899198883672,-0.00399503745227823,0.0291938712198797,-0.00134005316349865,-0.0838380029698171,-0.00168629165589167,0.0857217039298392,-1.49108019634596,0.359446802924448,0.0716671771291527,-0.0324420334936788,-0.00685501636328598,0.426014220865042,-0.424004344964995,-0.000542952547832564,-1.91834401080937,-0.000817863468294584,-0.00122835410260095,-0.000257863278890282,-1.53970679681491,0.0266265964188344,0.101024950863655,-0.00330783318823864,-0.00021926160344824,-0.00136704644338196
0.00523075861345723,-0.00655777140455561,0.0309265590836325,0.00878934384439342,0.0156336105212371,0.00338618094038634,0.122887187689874,-1.42367220670204,0.328051522448753,0.0651867138795101,-0.00588249063682716,-0.0171490984597616,0.390562422897684,-0.382625821476994,-0.0188210532794058,-1.75958254143709,-0.000911842314350352,-0.000862629545061309,-0.000181867468770683,-1.59419166538405,0.0272429184584393,0.113920949068277,-0.00278078256299684,-0.000155305080779743,-0.00140030787431059
5.61160249368678e-06,-0.00197288121481339,0.0304839653185412,0.0121939946591904,0.0637207466724756,0.00128580486071628,0.156450035599719,-1.33941738237688,0.292910322382318,0.0512677255474739,0.0173529255599924,-0.0251440217946504,0.35265567372491,-0.33613551190161,-0.0346659553460749,-1.57865032829198,-0.00099686924604603,0.00504071471297788,-0.000108258056272546,-1.62378669636924,0.0278451619466664,0.124810639865216,-0.00246106229548481,-0.000142876617400259,-0.00143459832739729
0.000232598557427351,0.00184658242922224,0.0276392172749707,0.00578271693506889,0.0494473434822527,-0.00111133508075195,0.186831613318143,-1.24737805357071,0.256381575236353,0.0342423735245509,0.0385067010702098,-0.0317666515925788,0.312350757630603,-0.287345178749718,-0.0509978444374595,-1.38438835108076,-0.00107440700337449,0.0144533225085736,-3.98573813601663e-05,-1.63651994459153,0.0285359741663837,0.134737667116273,-0.00227689284055283,-0.000157710802718067,-0.00147295715482804
0.00347639127944033,-0.00356333519960216,0.021724912669298,-0.012355714559019,-0.0135685264728866,0.00403064442079342,0.218755993104179,-1.14938900888587,0.220442701004842,0.00943163818840236,0.0603066919484533,-0.0375300701937314,0.26832243938198,-0.240598203356517,-0.0714511721752498,-1.18093073825912,-0.00113998940788903,0.0290188444570061,1.94117807221865e-05,-1.62315980440498,0.0292602059658585,0.143562021318765,-0.00218076184637635,-0.000191957340983876,-0.00151585291777991
0.00407611401608293,-0.00890314998270545,0.0191501994284261,-0.0152106019646851,-0.025753345360092,0.0094203724071764,0.260665132499287,-1.05198784973669,0.185567052863582,-0.0317436248910543,0.0753480802005473,-0.0404145031876149,0.227344538968096,-0.194773725729398,-0.0909102257260751,-0.988494637136678,-0.00119240441198078,0.0488139493023012,7.85661270954161e-05,-1.58592895688341,0.0298511172085326,0.147278499156451,-0.0023624159391573,-0.000230508077212491,-0.00155429967957021
0.00519442176918092,-0.00703568662737633,0.0189920040701305,-0.005006338848632,-0.0250409867169672,0.00865593744128304,0.304968721177511,-0.954775295093342,0.152451980480425,-0.0823870441203532,0.0802991522011528,-0.0382768984919536,0.190654302591091,-0.150753489456211,-0.107240105896184,-0.806194121425635,-0.00122678254305696,0.0725066431701514,0.000127979239922674,-1.52657877311044,0.030457769977688,0.148536910500621,-0.00296946947797267,-0.0002849062932319,-0.00158917893258574
0.00644977072073256,-0.00351021160758772,0.0190345543009041,0.00860711808166647,-0.0160184884481647,0.00775577397034831,0.350748494439467,-0.860838242758466,0.121803752696234,-0.139254325595323,0.0801949146720433,-0.0339481459653859,0.157392792549316,-0.107662580154006,-0.123541119268939,-0.637316373990651,-0.00124903222086354,0.100214083595974,0.000169396254280334,-1.45195918739549,0.0310792189342557,0.148022879048862,-0.00377472039472615,-0.000351549868816128,-0.00162580436366443
-0.000503180061993656,-0.00162046559644315,0.0164584763337627,0.012292057790055,0.00713548900030038,0.0015441685259063,0.391176557957628,-0.776355440790644,0.0952717630205552,-0.202443715875554,0.0739982608858371,-0.0279022533517231,0.129019943316889,-0.0706311910152152,-0.142462965435709,-0.492943209961784,-0.00124702084365638,0.133398218328837,0.000196938637071085,-1.35694633880377,0.0315068576028674,0.144844629723655,-0.00472751163842106,-0.000429094108020795,-0.00166404067188876
