condname,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural
subjectname,welk002,welk003,welk005,welk008,welk009,welk010,welk013,welk002,welk003,welk005,welk008,welk009,welk010,welk013
Var2,,,,,,,,,,,,,,
metabolics_combined_sart_r_TOTAL,0.03587358384284545,0.033025723506813875,0.04867305314626748,0.040475574312355274,0.029219260466070724,0.037386524725937426,0.040706819111976274,0.030705308401683024,0.03349961545153535,0.0442779239069482,0.029211529172179024,0.025931417721023274,0.028733590478820174,0.0292036534355107
metabolics_combined_semimem_r_TOTAL,0.4541290144541885,0.7881423908836295,0.15267058742637907,0.37147417909935826,0.23343247923253224,0.28445640185763676,0.208069421903363,1.028320446969765,0.6232237891445378,0.2632841903041698,0.3650153043152847,0.3134558437040375,0.3025659371800285,0.23815708822301576
metabolics_combined_semiten_r_TOTAL,0.0895642206872987,0.10550163598272765,0.05741688171017058,0.09175987669884633,0.07251070021851,0.07846187211236336,0.05383496292484573,0.11873520718602175,0.10180293200084688,0.09925030666979402,0.10657146969161868,0.0704406232567702,0.1199589023794828,0.09000244610887125
metabolics_combined_soleus_r_TOTAL,0.9637484072456247,1.2087445257942575,0.6254286673266507,0.7223436276837982,0.9958518228217408,1.45652333757902,0.7463161131760615,1.224037276179245,1.44376102670246,0.8497341887668265,0.795490899774514,0.7941414193645228,1.835520799009225,0.8882768929779695
metabolics_combined_tfl_r_TOTAL,0.024452683931247925,0.017690615966524124,0.015197014172420925,0.037680150601777276,0.0020426752792373753,0.045159495313274824,0.04429141106930597,0.050589036155254896,0.045813957995219624,0.035022780793666275,0.06410644728885125,0.013091475436887075,0.07019305139520535,0.0774495151098821
metabolics_combined_tibant_r_TOTAL,0.5962978074154702,0.241628473184956,0.18340680924373426,0.3145311791725767,0.186363787300413,0.40228300529468775,0.11740097836153962,0.6292479580558368,0.18452109484969498,0.33789556722964675,0.21703491608066675,0.31191090375201774,0.22403349862103725,0.22171298678895
metabolics_combined_tibpost_r_TOTAL,0.25849528393622523,0.2630124179711958,0.07109181198044673,0.10871014988377341,0.23274449533410652,0.21689098909813354,0.11240505145671563,0.24793360375921952,0.25508537126848824,0.059546863210917345,0.11752312642335783,0.15583538179677342,0.19841404188701925,0.11990261356394818
metabolics_combined_vasint_r_TOTAL,0.2667430293728885,0.14607605043459101,0.172368538085697,0.13143214092509675,0.13913681156557575,0.28359329070621003,0.17927278848742825,0.27292279255894303,0.16378847856446677,0.1858540769811995,0.2084045232694215,0.230780762416596,0.28798262801292873,0.2159524710923015
metabolics_combined_vaslat_r_TOTAL,1.8232336449781499,1.3248651292752949,1.0222191464349364,0.9786991811575525,1.127242753018295,1.30317072789084,1.3928194728009649,1.8398641562159626,1.5518911223204375,1.2227999380030325,1.8417514055132276,1.813487707373495,1.829444576029755,1.769661071259595
metabolics_combined_vasmed_r_TOTAL,0.5651077075544675,0.2849706237352572,0.298935136369024,0.293384071854622,0.2880083490486067,0.559472668709232,0.2867272322268978,0.49500666256347475,0.35844866397938024,0.3026506433001735,0.47947238271548026,0.4667228338186665,0.6109594376136953,0.44478877497438124
