Var2,condname,subjectname,metabolics_stance_avg
metabolics_combined_iliacus_r_TOTAL,welknatural,welk002,0.06652166981347149
metabolics_combined_iliacus_r_TOTAL,welknatural,welk003,0.01904596160691375
metabolics_combined_iliacus_r_TOTAL,welknatural,welk005,0.0307740367255914
metabolics_combined_iliacus_r_TOTAL,welknatural,welk008,0.03805893712002757
metabolics_combined_iliacus_r_TOTAL,welknatural,welk009,0.011307636018182575
metabolics_combined_iliacus_r_TOTAL,welknatural,welk010,0.04896808455041578
metabolics_combined_iliacus_r_TOTAL,welknatural,welk013,0.008848837052180675
metabolics_combined_perbrev_r_TOTAL,welkexo,welk002,0.0100501874252731
metabolics_combined_perbrev_r_TOTAL,welkexo,welk003,0.014702557924745424
metabolics_combined_perbrev_r_TOTAL,welkexo,welk005,0.05301992875287963
metabolics_combined_perbrev_r_TOTAL,welkexo,welk008,0.0715150800157547
metabolics_combined_perbrev_r_TOTAL,welkexo,welk009,0.04729324862044028
metabolics_combined_perbrev_r_TOTAL,welkexo,welk010,0.046965468163647876
metabolics_combined_perbrev_r_TOTAL,welkexo,welk013,0.0409552769217768
metabolics_combined_perbrev_r_TOTAL,welknatural,welk002,0.011099426456107099
