metabolics_all_avg,subjectname,condname,experimentname,trialname
2.925657,jack008,jackpower2,jackson,trial01
3.146267,jack001,jackpower3,jackson,trial01
3.653302,jack002,jackpower3,jackson,trial01
3.231571,jack003,jackpower3,jackson,trial01
3.653824,jack004,jackpower3,jackson,trial01
3.039869,jack005,jackpower3,jackson,trial01
3.065919,jack006,jackpower3,jackson,trial01
2.62214,jack007,jackpower3,jackson,trial01
3.070405,jack008,jackpower3,jackson,trial01
2.900055,jack001,jackpower4,jackson,trial01
2.970767,jack002,jackpower4,jackson,trial01
3.277381,jack003,jackpower4,jackson,trial01
3.24566,jack004,jackpower4,jackson,trial01
2.964043,jack005,jackpower4,jackson,trial01
2.880384,jack006,jackpower4,jackson,trial01
2.46078,jack007,jackpower4,jackson,trial01
2.469534,jack008,jackpower4,jackson,trial01
2.497643,jack001,jackpower5,jackson,trial01
2.943788,jack002,jackpower5,jackson,trial01
3.02715,jack003,jackpower5,jackson,trial01
2.799007,jack004,jackpower5,jackson,trial01
2.525864,jack005,jackpower5,jackson,trial01
2.566284,jack006,jackpower5,jackson,trial01
2.282464,jack007,jackpower5,jackson,trial01
2.315637,jack008,jackpower5,jackson,trial01
2.356193,jack001,jackpower6,jackson,trial01
3.430369,jack002,jackpower6,jackson,trial01
2.882145,jack003,jackpower6,jackson,trial01
2.789271,jack004,jackpower6,jackson,trial01
2.40938,jack005,jackpower6,jackson,trial01
2.631794,jack006,jackpower6,jackson,trial01
2.155368,jack007,jackpower6,jackson,trial01
2.42128,jack008,jackpower6,jackson,trial01
0,jack001,jacktau1,jackson,trial01
2.635477,jack002,jacktau1,jackson,trial01
2.971947,jack003,jacktau1,jackson,trial01
2.310198,jack004,jacktau1,jackson,trial01
2.495017,jack005,jacktau1,jackson,trial01
2.661733,jack006,jacktau1,jackson,trial01
2.304545,jack007,jacktau1,jackson,trial01
2.226648,jack008,jacktau1,jackson,trial01
3.087577,jack001,jacktau2,jackson,trial01
2.83645,jack002,jacktau2,jackson,trial01
3.142211,jack003,jacktau2,jackson,trial01
2.481682,jack004,jacktau2,jackson,trial01
2.616562,jack005,jacktau2,jackson,trial01
2.982793,jack006,jacktau2,jackson,trial01
2.389331,jack007,jacktau2,jackson,trial01
2.699486,jack008,jacktau2,jackson,trial01
3.184067,jack001,jacktau3,jackson,trial01
3.129357,jack002,jacktau3,jackson,trial01
3.359142,jack003,jacktau3,jackson,trial01
2.76426,jack004,jacktau3,jackson,trial01
3.20614,jack005,jacktau3,jackson,trial01
2.880007,jack006,jacktau3,jackson,trial01
2.538339,jack007,jacktau3,jackson,trial01
2.729126,jack008,jacktau3,jackson,trial01
3.146267,jack001,jacktau4,jackson,trial01
3.653302,jack002,jacktau4,jackson,trial01
3.231571,jack003,jacktau4,jackson,trial01
3.653824,jack004,jacktau4,jackson,trial01
3.039869,jack005,jacktau4,jackson,trial01
3.065919,jack006,jacktau4,jackson,trial01
2.62214,jack007,jacktau4,jackson,trial01
3.070405,jack008,jacktau4,jackson,trial01
3.288345,jack001,jacktau5,jackson,trial01
3.331864,jack002,jacktau5,jackson,trial01
3.544399,jack003,jacktau5,jackson,trial01
3.150343,jack004,jacktau5,jackson,trial01
2.966201,jack005,jacktau5,jackson,trial01
3.219926,jack006,jacktau5,jackson,trial01
2.84634,jack007,jacktau5,jackson,trial01
2.759678,jack008,jacktau5,jackson,trial01
4.682754,demb005,dembnoloadfree,dembia,trial02
4.682754,demb005,dembnoloadfree,dembia,trial03
4.682754,demb005,dembnoloadfree,dembia,trial06
4.152233,demb005,dembnoloadslow,dembia,trial01
4.152233,demb005,dembnoloadslow,dembia,trial02
4.152233,demb005,dembnoloadslow,dembia,trial03
6.040289,demb005,dembloadedfree,dembia,trial01
6.040289,demb005,dembloadedfree,dembia,trial03
6.040289,demb005,dembloadedfree,dembia,trial06
6.281147,demb005,dembloadedmatched,dembia,trial01
6.281147,demb005,dembloadedmatched,dembia,trial03
6.281147,demb005,dembloadedmatched,dembia,trial04
5.096163,demb007,dembnoloadfree,dembia,trial01
5.096163,demb007,dembnoloadfree,dembia,trial02
5.096163,demb007,dembnoloadfree,dembia,trial03
4.287725,demb007,dembnoloadslow,dembia,trial03
4.287725,demb007,dembnoloadslow,dembia,trial04
4.287725,demb007,dembnoloadslow,dembia,trial05
6.282373,demb007,dembloadedfree,dembia,trial01
6.282373,demb007,dembloadedfree,dembia,trial02
6.282373,demb007,dembloadedfree,dembia,trial05
7.407283,demb007,dembloadedmatched,dembia,trial01
7.407283,demb007,dembloadedmatched,dembia,trial02
7.407283,demb007,dembloadedmatched,dembia,trial06
4.776633,demb009,dembnoloadfree,dembia,trial01
4.776633,demb009,dembnoloadfree,dembia,trial02
4.776633,demb009,dembnoloadfree,dembia,trial04
4.115363,demb009,dembnoloadslow,dembia,trial02
4.115363,demb009,dembnoloadslow,dembia,trial04
4.115363,demb009,dembnoloadslow,dembia,trial05
6.629501,demb009,dembloadedfree,dembia,trial04
6.629501,demb009,dembloadedfree,dembia,trial05
6.629501,demb009,dembloadedfree,dembia,trial08
7.172946,demb009,dembloadedmatched,dembia,trial06
7.172946,demb009,dembloadedmatched,dembia,trial08
6.489858,demb010,dembnoloadfree,dembia,trial02
6.489858,demb010,dembnoloadfree,dembia,trial04
6.489858,demb010,dembnoloadfree,dembia,trial05
5.323158,demb010,dembnoloadslow,dembia,trial02
5.323158,demb010,dembnoloadslow,dembia,trial04
5.323158,demb010,dembnoloadslow,dembia,trial05
9.421522,demb010,dembloadedfree,dembia,trial03
9.421522,demb010,dembloadedfree,dembia,trial04
9.421522,demb010,dembloadedfree,dembia,trial05
9.47821,demb010,dembloadedmatched,dembia,trial04
9.47821,demb010,dembloadedmatched,dembia,trial05
9.47821,demb010,dembloadedmatched,dembia,trial06
4.30015,demb011,dembnoloadfree,dembia,trial03
4.30015,demb011,dembnoloadfree,dembia,trial04
4.30015,demb011,dembnoloadfree,dembia,trial05
5.360023,demb011,dembloadedfree,dembia,trial04
5.360023,demb011,dembloadedfree,dembia,trial05
5.360023,demb011,dembloadedfree,dembia,trial06
6.061044,demb012,dembnoloadfree,dembia,trial05
6.061044,demb012,dembnoloadfree,dembia,trial06
6.061044,demb012,dembnoloadfree,dembia,trial07
5.351055,demb012,dembnoloadslow,dembia,trial04
5.351055,demb012,dembnoloadslow,dembia,trial06
5.351055,demb012,dembnoloadslow,dembia,trial07
7.708152,demb012,dembloadedfree,dembia,trial03
7.708152,demb012,dembloadedfree,dembia,trial04
7.708152,demb012,dembloadedfree,dembia,trial05
9.942525,demb012,dembloadedmatched,dembia,trial05
9.942525,demb012,dembloadedmatched,dembia,trial06
9.942525,demb012,dembloadedmatched,dembia,trial07
7.166939,demb014,dembnoloadfree,dembia,trial02
